id,status,version
BANK_TEST,,INPROGRESS,,01.00.0000
BOCA_ERP_ITEMS_CALLBACK,,CONFIGURED,,01.00.0000
SCHE_BOCA_LEAS_ERP_AR_INVO_FBDI,,CONFIGURED,,01.00.0000
SCHEDU_BOCA_ERP_LEASEP_ARRECE,,CONFIGURED,,01.00.0000
INT_SCHEDULE_242,,INPROGRESS,,01.00.0000
APP_INT_242_2,,ACTIVATED,,01.00.0000
APP_REST_242,,ACTIVATED,,01.00.0000
BANKSTATEMENTLOCKBOXFILEPROCESSO,,CONFIGURED,,01.00.0000
BOCA_HSBC_ERP_BANKSTAT,,ACTIVATED,,01.00.0000
SCHED_BOCA_ERP_CPQ_PO_16977,,CONFIGURED,,01.00.0000
SCHEDU_BOCA_ERP_AR_RECEIP,,ACTIVATED,,01.00.0000
OIC_INTEG_VIA_OIC_EVENT_151,,FAILEDACTIVATION,,01.00.0000
INTTEST_242,,INPROGRESS,,01.00.0000
TEST_242,,INPROGRESS,,01.00.0000
RN_BANK_STATMENTS,,INPROGRESS,,01.00.0000
XXBOC_ERP_TO_LEASE_CUSTO_OUTBO,,ACTIVATED,,01.00.0000
SCHEDULE_BOCA_ERP_CUSTOMER,,ACTIVATED,,01.00.0000
SK_PO_INT,,CONFIGURED,,01.00.0000
SK_FTP_CREATING_FILE,,CONFIGURED,,01.00.0000
SK_SUP_REST_78,,CONFIGURED,,01.00.0000
SK_BUDGET_INT,,CONFIGURED,,01.00.0000
TEST_BANK_STATMENT_16977090,,INPROGRESS,,01.00.0000
INVOKER_ATP_INT_216,,CONFIGURED,,01.00.0000
TESTINT_216,,CONFIGURED,,01.00.0000
